preference_model,pricing_model,n_items,gamma,delta,K,alpha,lambda_,seed,T,utility_gap_M_minus_m,purchase_gap_M_minus_m,revenue_gap_M_minus_m,recommended_value_gap_M_minus_m,best_recommended_value_gap_M_minus_m,overall_minority_item_exposure,minority_population_share,random_minority_item_share,exposure_representation_gap,exposure_random_gap,total_revenue,avg_revenue_per_user,overall_purchase_rate,minority_item_purchase_share,avg_shown_price,avg_oracle_price_all_items,avg_final_mle_price_all_items,avg_abs_mle_oracle_price_error_all_items,avg_abs_mle_oracle_price_error_minority_items,avg_abs_mle_oracle_price_error_majority_items,avg_oracle_r_star_minority_items,avg_oracle_r_star_majority_items,avg_mle_exposures_minority_items,avg_mle_exposures_majority_items,n_minority_preferred_items,mle_price_grid_coverage,mle_mean_exposures_observed_cell,mle_median_exposures_observed_cell,mle_unobserved_item_price_cells
gaussian,oracle,50,0.3,0.99,5,0.9,0.1,0,300,-0.12318352985051922,0.05555555555555558,0.21230496453900716,0.15441074179549608,0.15177294944545072,0.16599999999999998,0.09999999999999998,0.19999999999999998,-0.066,0.034,188.17,0.6272333333333333,0.9966666666666667,0.16333333333333333,0.5721166666666667,0.51612,,,,,0.3888609402809491,0.4002863398403928,0.0,0.0,10.0,,,,
gaussian,oracle,50,0.3,0.99,5,0.9,0.25,0,300,-0.08797032660357851,0.03703703703703709,0.16443630443630447,0.19327089232633377,0.13686160597826957,0.18133333333333332,0.09999999999999998,0.19999999999999998,-0.08133333333333334,0.018666666666666665,182.88,0.6096,0.9966666666666667,0.19,0.5708106666666667,0.51612,,,,,0.3888609402809491,0.4002863398403928,0.0,0.0,10.0,,,,
gaussian,oracle,50,0.7,0.95,1,0.9,0.1,0,300,-0.03700494904553908,-0.10545454545454547,-0.04110909090909093,-0.06528089892468741,-0.06528089892468741,0.07333333333333333,0.09999999999999998,0.19999999999999998,0.026666666666666644,0.12666666666666665,67.151,0.22383666666666666,0.6633333333333333,0.05,0.33024666666666663,0.27092000000000005,,,,,0.15082943483849204,0.18091075617796593,0.0,0.0,10.0,,,,
gaussian,oracle,50,0.7,0.95,1,0.9,0.25,0,300,-0.14616058225998008,-0.28727272727272735,-0.062389090909090894,-0.1691187002540907,-0.1691187002540907,0.7,0.09999999999999998,0.19999999999999998,-0.6,-0.5,50.04299999999999,0.16680999999999999,0.6566666666666666,0.48,0.24939666666666668,0.27092000000000005,,,,,0.15082943483849204,0.18091075617796593,0.0,0.0,10.0,,,,
gaussian,oracle,50,0.7,0.95,3,0.9,0.1,0,300,0.04084978760092001,-0.018115942028985477,0.011391304347826037,0.06592827422455788,0.06404000717234648,0.10777777777777776,0.09999999999999998,0.19999999999999998,-0.007777777777777786,0.09222222222222222,104.494,0.3483133333333333,0.9833333333333333,0.09,0.33544999999999997,0.27092000000000005,,,,,0.15082943483849204,0.18091075617796593,0.0,0.0,10.0,,,,
gaussian,oracle,50,0.7,0.95,3,0.9,0.25,0,300,0.02606232999474281,0.013670703921333516,0.01802734140784268,0.05436984048965243,0.04602972536493677,0.10333333333333333,0.09999999999999998,0.19999999999999998,-0.003333333333333355,0.09666666666666665,101.43,0.3381,0.98,0.09333333333333334,0.3292988888888889,0.27092000000000005,,,,,0.15082943483849204,0.18091075617796593,0.0,0.0,10.0,,,,
gaussian,oracle,50,0.7,0.95,5,0.9,0.1,0,300,-0.04222386864875016,0.0,-0.026754754533392322,-0.005155106736095649,-0.07145485644577187,0.19333333333333333,0.09999999999999998,0.19999999999999998,-0.09333333333333335,0.006666666666666654,131.995,0.43998333333333334,1.0,0.13,0.3312153333333333,0.27092000000000005,,,,,0.15082943483849204,0.18091075617796593,0.0,0.0,10.0,,,,
gaussian,oracle,50,0.7,0.95,5,0.9,0.25,0,300,-0.0021352755356542352,0.0,7.407407407400424e-06,0.016374232765806074,-0.013966290723705033,0.176,0.09999999999999998,0.19999999999999998,-0.07600000000000001,0.023999999999999994,135.572,0.4519066666666667,1.0,0.12333333333333334,0.33358666666666664,0.27092000000000005,,,,,0.15082943483849204,0.18091075617796593,0.0,0.0,10.0,,,,
gaussian,oracle,50,0.7,0.99,1,0.9,0.1,0,300,-0.03700494904553908,-0.10545454545454547,-0.04110909090909093,-0.065047968745028,-0.065047968745028,0.07333333333333333,0.09999999999999998,0.19999999999999998,0.026666666666666644,0.12666666666666665,67.151,0.22383666666666666,0.6633333333333333,0.05,0.3306666666666666,0.27092000000000005,,,,,0.15082943483849204,0.18091075617796593,0.0,0.0,10.0,,,,
gaussian,oracle,50,0.7,0.99,1,0.9,0.25,0,300,0.02208169351964591,0.021818181818181848,0.00842545454545457,0.0004978803604914206,0.0004978803604914206,0.08333333333333333,0.09999999999999998,0.19999999999999998,0.01666666666666665,0.11666666666666665,84.721,0.28240333333333334,0.74,0.056666666666666664,0.36888666666666664,0.27092000000000005,,,,,0.15082943483849204,0.18091075617796593,0.0,0.0,10.0,,,,
gaussian,oracle,50,0.7,0.99,3,0.9,0.1,0,300,0.014392154006262065,-0.02527075812274371,-0.023327578088212175,0.030055295904981072,0.02904513559319799,0.1522222222222222,0.09999999999999998,0.19999999999999998,-0.052222222222222225,0.04777777777777778,146.15999999999997,0.4871999999999999,0.9766666666666667,0.09,0.3757244444444444,0.27092000000000005,,,,,0.15082943483849204,0.18091075617796593,0.0,0.0,10.0,,,,
gaussian,oracle,50,0.7,0.99,3,0.9,0.25,0,300,-0.006589950242369136,-0.02564102564102566,0.02994831094831102,-0.0006215840838617592,-0.0038694861031111083,0.16,0.09999999999999998,0.19999999999999998,-0.060000000000000026,0.03999999999999998,144.58700000000002,0.4819566666666667,0.9766666666666667,0.10333333333333333,0.37544999999999995,0.27092000000000005,,,,,0.15082943483849204,0.18091075617796593,0.0,0.0,10.0,,,,
gaussian,oracle,50,0.7,0.99,5,0.9,0.1,0,300,-0.03558981479428758,0.0,-0.02982222222222225,-0.003361797955204082,-0.05412211745696571,0.176,0.09999999999999998,0.19999999999999998,-0.07600000000000001,0.023999999999999994,138.208,0.46069333333333334,1.0,0.12,0.32910799999999996,0.27092000000000005,,,,,0.15082943483849204,0.18091075617796593,0.0,0.0,10.0,,,,
gaussian,oracle,50,0.7,0.99,5,0.9,0.25,0,300,-0.019520094733586957,0.0,0.01972644927536238,0.013071135319094596,-0.02772314313311819,0.17333333333333334,0.09999999999999998,0.19999999999999998,-0.07333333333333336,0.026666666666666644,129.53199999999998,0.4317733333333333,1.0,0.12333333333333334,0.3316953333333333,0.27092000000000005,,,,,0.15082943483849204,0.18091075617796593,0.0,0.0,10.0,,,,
gaussian,mle,50,0.0,0.95,1,0.9,0.1,0,300,0.05311028841578602,0.03203781512605042,0.02940861344537815,0.13950183045222653,0.13950183045222653,0.056666666666666664,0.09999999999999998,0.19999999999999998,0.043333333333333314,0.1433333333333333,132.39200000000002,0.44130666666666674,0.7433333333333333,0.016666666666666666,0.8358733333333335,0.7133999999999999,1.3994,0.8116800000000002,0.7287,0.832425,0.5941182998767679,0.5858511105622557,1.7,7.075,10.0,0.0565,2.6548672566371683,1.0,1887.0
gaussian,mle,50,0.0,0.95,1,0.9,0.25,0,300,0.23641890060952886,0.41491596638655465,0.2914448529411765,0.3881847379856195,0.3881847379856195,0.056666666666666664,0.09999999999999998,0.19999999999999998,0.043333333333333314,0.1433333333333333,141.82299999999998,0.47274333333333324,0.7333333333333333,0.016666666666666666,0.87661,0.7133999999999999,1.4169799999999997,0.8141800000000002,0.7287,0.8355499999999999,0.5941182998767679,0.5858511105622557,1.7,7.075,10.0,0.0565,2.6548672566371683,1.0,1887.0
gaussian,mle,50,0.0,0.95,3,0.9,0.1,0,300,0.041879994984478974,-0.021450459652706866,0.0012451481103166184,0.03830689157086731,0.04804436575098925,0.1622222222222222,0.09999999999999998,0.19999999999999998,-0.062222222222222234,0.03777777777777777,152.687,0.5089566666666667,0.89,0.056666666666666664,1.2898133333333333,0.7133999999999999,1.5074599999999998,0.9297,0.9232999999999999,0.9313,0.5941182998767679,0.5858511105622557,14.6,18.85,10.0,0.1515,2.9702970297029703,2.0,1697.0
gaussian,mle,50,0.0,0.95,3,0.9,0.25,0,300,-0.031696357983516,-0.0505050505050505,-0.008291666666666586,0.026995835757146258,0.013849282996369672,0.17,0.09999999999999998,0.19999999999999998,-0.07000000000000003,0.02999999999999997,153.786,0.51262,0.9,0.08333333333333333,1.2410211111111111,0.7133999999999999,1.39816,0.84804,0.9421999999999999,0.8245000000000001,0.5941182998767679,0.5858511105622557,15.3,18.675,10.0,0.1485,3.0303030303030303,2.0,1703.0
gaussian,mle,50,0.0,0.95,5,0.9,0.1,0,300,0.029126288420595947,0.03069968923627453,0.014263772483284698,0.08074053167010986,0.00476127474525101,0.3006666666666667,0.09999999999999998,0.19999999999999998,-0.20066666666666672,-0.10066666666666671,201.387,0.67129,0.9533333333333334,0.5033333333333333,1.4299066666666667,0.7133999999999999,1.4559199999999999,0.90836,0.7035,0.9595750000000001,0.5941182998767679,0.5858511105622557,45.1,26.225,10.0,0.2455,3.054989816700611,2.0,1509.0
gaussian,mle,50,0.0,0.95,5,0.9,0.25,0,300,0.0679045267289482,0.08375893769152198,0.16345148110316648,0.26822792816018504,0.1308420696475574,0.21133333333333332,0.09999999999999998,0.19999999999999998,-0.11133333333333334,-0.011333333333333334,169.28700000000003,0.5642900000000001,0.9533333333333334,0.23,1.2719260000000001,0.7133999999999999,1.73488,1.0817999999999999,1.0303,1.094675,0.5941182998767679,0.5858511105622557,31.7,29.575,10.0,0.2445,3.067484662576687,2.0,1511.0
gaussian,mle,50,0.0,0.99,1,0.9,0.1,0,300,0.4138527602515873,0.6328781512605042,0.5161165966386555,0.847336743335756,0.847336743335756,0.056666666666666664,0.09999999999999998,0.19999999999999998,0.043333333333333314,0.1433333333333333,159.34800000000004,0.5311600000000002,0.7166666666666667,0.016666666666666666,0.9492733333333334,0.7133999999999999,1.3994,0.8116800000000002,0.7287,0.832425,0.5941182998767679,0.5858511105622557,1.7,7.075,10.0,0.0555,2.7027027027027026,1.0,1889.0
gaussian,mle,50,0.0,0.99,1,0.9,0.25,0,300,0.41217646381377165,0.6292016806722689,0.5131607142857143,0.8446745328497879,0.8446745328497879,0.06,0.09999999999999998,0.19999999999999998,0.03999999999999998,0.13999999999999999,158.54400000000004,0.5284800000000002,0.7133333333333334,0.016666666666666666,0.9486433333333334,0.7133999999999999,1.3981600000000003,0.8104399999999999,0.7224999999999999,0.832425,0.5941182998767679,0.5858511105622557,1.8,7.05,10.0,0.0555,2.7027027027027026,1.0,1889.0
gaussian,mle,50,0.0,0.99,3,0.9,0.1,0,300,0.15569905385893867,0.03803626713843433,0.05214882795223352,0.07351463317106666,0.1268071485282023,0.15777777777777777,0.09999999999999998,0.19999999999999998,-0.05777777777777779,0.04222222222222222,173.551,0.5785033333333333,0.8866666666666667,0.06666666666666667,1.2949822222222223,0.7133999999999999,1.49362,0.9058600000000001,0.647,0.970575,0.5941182998767679,0.5858511105622557,14.2,18.95,10.0,0.1495,3.0100334448160537,2.0,1701.0
gaussian,mle,50,0.0,0.99,3,0.9,0.25,0,300,0.02235443483286681,-0.06361185983827489,0.006548787061994632,0.08744943992254939,0.1312787664008217,0.12666666666666668,0.09999999999999998,0.19999999999999998,-0.0266666666666667,0.0733333333333333,145.08400000000003,0.48361333333333345,0.8866666666666667,0.08666666666666667,1.229398888888889,0.7133999999999999,1.61422,0.9787,0.7913,1.0255500000000002,0.5941182998767679,0.5858511105622557,11.4,19.65,10.0,0.151,2.980132450331126,2.0,1698.0
gaussian,mle,50,0.0,0.99,5,0.9,0.1,0,300,-0.03641311756923937,0.0,0.011626923076922924,0.06548377643178815,-0.026012384682954304,0.30733333333333335,0.09999999999999998,0.19999999999999998,-0.20733333333333337,-0.10733333333333336,196.25300000000004,0.6541766666666669,0.95,0.51,1.4261346666666666,0.7133999999999999,1.4685,0.9360600000000001,0.9611999999999998,0.929775,0.5941182998767679,0.5858511105622557,46.1,25.975,10.0,0.2395,3.1315240083507305,2.0,1521.0
gaussian,mle,50,0.0,0.99,5,0.9,0.25,0,300,0.1393321738761258,0.2219460227272727,0.2833963068181818,0.1709110455381675,0.20361762804244,0.19799999999999998,0.09999999999999998,0.19999999999999998,-0.098,0.0020000000000000018,208.50400000000002,0.6950133333333334,0.9166666666666666,0.14666666666666667,1.4408586666666667,0.7133999999999999,1.2837399999999999,0.7639000000000001,0.8543,0.7413000000000001,0.5941182998767679,0.5858511105622557,29.7,30.075,10.0,0.2435,3.080082135523614,2.0,1513.0
gaussian,mle,50,0.3,0.95,1,0.9,0.1,0,300,0.02770122544237663,0.02993697478991597,0.016778361344537807,0.10861485997218256,0.10861485997218256,0.056666666666666664,0.09999999999999998,0.19999999999999998,0.043333333333333314,0.1433333333333333,69.65299999999999,0.23217666666666664,0.42,0.006666666666666667,0.8492833333333334,0.51612,1.422,0.91848,0.9423000000000001,0.9125250000000001,0.3888609402809491,0.4002863398403928,1.7,7.075,10.0,0.0565,2.6548672566371683,1.0,1887.0
gaussian,mle,50,0.3,0.95,1,0.9,0.25,0,300,0.14767333982563274,0.4290966386554622,0.29690966386554624,0.33955181066007734,0.33955181066007734,0.06333333333333334,0.09999999999999998,0.19999999999999998,0.03666666666666664,0.13666666666666666,112.238,0.37412666666666666,0.6033333333333334,0.006666666666666667,0.8935866666666668,0.51612,1.4094400000000002,0.90592,0.9423000000000001,0.8968250000000001,0.3888609402809491,0.4002863398403928,1.9,7.025,10.0,0.057,2.6315789473684212,1.0,1886.0
gaussian,mle,50,0.3,0.95,3,0.9,0.1,0,300,0.033175686603662796,0.3148148148148148,0.30646296296296294,0.08082810839230059,0.10529507205718758,0.13555555555555554,0.09999999999999998,0.19999999999999998,-0.03555555555555556,0.06444444444444444,124.055,0.4135166666666667,0.65,0.056666666666666664,1.3570066666666667,0.51612,1.4119599999999999,0.94608,0.8731,0.9643249999999999,0.3888609402809491,0.4002863398403928,12.2,19.45,10.0,0.152,2.960526315789474,2.0,1696.0
gaussian,mle,50,0.3,0.95,3,0.9,0.25,0,300,0.018168827685008132,0.037338573834924116,0.0730687815833801,0.03716083715497043,0.038247953234624155,0.2244444444444444,0.09999999999999998,0.19999999999999998,-0.12444444444444441,-0.024444444444444408,142.46699999999998,0.4748899999999999,0.8033333333333333,0.17333333333333334,1.2359355555555556,0.51612,1.45718,0.99886,1.2187,0.9439,0.3888609402809491,0.4002863398403928,20.2,17.45,10.0,0.1525,2.9508196721311477,2.0,1695.0
gaussian,mle,50,0.3,0.95,5,0.9,0.1,0,300,-0.024416917748208755,-0.039141414141414144,-0.004782828282828333,0.03391679276777104,-0.012554262244704906,0.17333333333333334,0.09999999999999998,0.19999999999999998,-0.07333333333333336,0.026666666666666644,143.07900000000004,0.47693000000000013,0.8266666666666667,0.12666666666666668,1.4251213333333332,0.51612,1.51252,1.0516800000000002,0.7727,1.121425,0.3888609402809491,0.4002863398403928,26.0,31.0,10.0,0.241,3.112033195020747,2.0,1518.0
gaussian,mle,50,0.3,0.95,5,0.9,0.25,0,300,-0.014100085113606886,-0.016364440513047307,-0.005881026094648356,0.057693033380882164,-0.014812329603499652,0.26866666666666666,0.09999999999999998,0.19999999999999998,-0.1686666666666667,-0.06866666666666668,137.768,0.45922666666666667,0.9266666666666666,0.3233333333333333,1.2896033333333334,0.51612,1.5903600000000002,1.13456,1.0429,1.1574750000000003,0.3888609402809491,0.4002863398403928,40.3,27.425,10.0,0.243,3.0864197530864197,2.0,1514.0
gaussian,mle,50,0.3,0.99,1,0.9,0.1,0,300,0.1612624399637392,0.476890756302521,0.32329096638655463,0.34915422466547896,0.34915422466547896,0.056666666666666664,0.09999999999999998,0.19999999999999998,0.043333333333333314,0.1433333333333333,121.428,0.40476,0.6466666666666666,0.006666666666666667,0.8602733333333333,0.51612,1.422,0.91848,0.9423000000000001,0.9125250000000001,0.3888609402809491,0.4002863398403928,1.7,7.075,10.0,0.056,2.6785714285714284,1.0,1888.0
gaussian,mle,50,0.3,0.99,1,0.9,0.25,0,300,-0.03744252706363965,-0.05882352941176472,-0.029644432773109186,0.010965889765126358,0.010965889765126358,0.06,0.09999999999999998,0.19999999999999998,0.03999999999999998,0.13999999999999999,88.67599999999999,0.2955866666666666,0.6966666666666667,0.006666666666666667,0.7257999999999999,0.51612,1.422,0.91848,0.9423000000000001,0.9125250000000001,0.3888609402809491,0.4002863398403928,1.8,7.05,10.0,0.0565,2.6548672566371683,1.0,1887.0
gaussian,mle,50,0.3,0.99,3,0.9,0.1,0,300,0.04578847396251334,0.17891833553183834,0.2006467202302435,0.0535825254296155,0.0823081424429144,0.15,0.09999999999999998,0.19999999999999998,-0.05000000000000002,0.04999999999999999,142.20299999999997,0.47400999999999993,0.7733333333333333,0.05,1.31998,0.51612,1.4521000000000002,0.9636600000000002,0.9109,0.97685,0.3888609402809491,0.4002863398403928,13.5,19.125,10.0,0.151,2.980132450331126,2.0,1698.0
gaussian,mle,50,0.3,0.99,3,0.9,0.25,0,300,0.08680881542829366,0.2751106571331291,0.20401838610827372,0.08751587896277657,0.08208019459699534,0.14888888888888888,0.09999999999999998,0.19999999999999998,-0.0488888888888889,0.05111111111111111,133.582,0.4452733333333333,0.76,0.06,1.2904988888888889,0.51612,1.4182599999999999,0.9725400000000001,1.1496,0.928275,0.3888609402809491,0.4002863398403928,13.4,19.15,10.0,0.148,3.0405405405405403,2.0,1704.0
gaussian,mle,50,0.3,0.99,5,0.9,0.1,0,300,0.12418037679098343,0.5076923076923077,0.43561730769230766,0.1425446393959281,0.1523734624241383,0.18333333333333332,0.09999999999999998,0.19999999999999998,-0.08333333333333334,0.016666666666666663,153.64800000000002,0.5121600000000001,0.84,0.10333333333333333,1.4562426666666666,0.51612,1.4747999999999999,1.02156,0.754,1.08845,0.3888609402809491,0.4002863398403928,27.5,30.625,10.0,0.2375,3.1578947368421053,2.0,1525.0
gaussian,mle,50,0.3,0.99,5,0.9,0.25,0,300,-0.025403564375321097,-0.013619339462036084,0.027404494382022526,0.07893522268644604,0.017081380878444463,0.1653333333333333,0.09999999999999998,0.19999999999999998,-0.06533333333333333,0.03466666666666668,149.01700000000002,0.4967233333333334,0.8666666666666667,0.11333333333333333,1.4055246666666668,0.51612,1.4459,0.9699800000000001,0.9673999999999999,0.9706250000000001,0.3888609402809491,0.4002863398403928,24.8,31.3,10.0,0.2435,3.080082135523614,2.0,1513.0
gaussian,mle,50,0.7,0.95,1,0.9,0.1,0,300,0.04593745055452532,0.09611344537815125,0.06147846638655463,0.1410970542714392,0.1410970542714392,0.10333333333333333,0.09999999999999998,0.19999999999999998,-0.003333333333333355,0.09666666666666665,98.66499999999998,0.32888333333333325,0.48,0.0033333333333333335,1.0272866666666667,0.27092000000000005,1.41702,1.1461,1.2066,1.130975,0.15082943483849204,0.18091075617796593,3.1,6.725,10.0,0.059,2.542372881355932,1.0,1882.0
gaussian,mle,50,0.7,0.95,1,0.9,0.25,0,300,0.020430891715378846,-0.0068277310924369505,-0.007634453781512618,0.04522518333673553,0.04522518333673553,0.11333333333333333,0.09999999999999998,0.19999999999999998,-0.01333333333333335,0.08666666666666666,75.15199999999999,0.2505066666666666,0.38666666666666666,0.0033333333333333335,1.0808933333333335,0.27092000000000005,1.4282800000000002,1.15736,1.3195999999999999,1.1168,0.15082943483849204,0.18091075617796593,3.4,6.65,10.0,0.0585,2.5641025641025643,1.0,1883.0
gaussian,mle,50,0.7,0.95,3,0.9,0.1,0,300,-0.06399918254605899,-0.1384615384615384,-0.09618461538461548,-0.04910416754847685,-0.08423085374337347,0.1655555555555555,0.09999999999999998,0.19999999999999998,-0.06555555555555553,0.03444444444444447,129.522,0.43173999999999996,0.73,0.013333333333333334,1.3668477777777777,0.27092000000000005,1.73614,1.47774,1.8598,1.382225,0.15082943483849204,0.18091075617796593,14.9,18.775,10.0,0.148,3.0405405405405403,2.0,1704.0
gaussian,mle,50,0.7,0.95,3,0.9,0.25,0,300,-0.08709143522897939,-0.08148148148148149,-0.018285185185185238,-0.004860381983441131,-0.059020801287670066,0.13222222222222219,0.09999999999999998,0.19999999999999998,-0.03222222222222221,0.0677777777777778,127.023,0.42341,0.7266666666666667,0.013333333333333334,1.394978888888889,0.27092000000000005,1.6657200000000003,1.39732,1.6275,1.339775,0.15082943483849204,0.18091075617796593,11.9,19.525,10.0,0.1505,2.990033222591362,2.0,1699.0
gaussian,mle,50,0.7,0.95,5,0.9,0.1,0,300,-0.03684283954852116,-0.13257575757575757,-0.04178914141414147,0.008076443618897089,-0.02593558052741074,0.174,0.09999999999999998,0.19999999999999998,-0.07400000000000001,0.025999999999999995,140.75100000000003,0.4691700000000001,0.7166666666666667,0.023333333333333334,1.5294086666666666,0.27092000000000005,1.79264,1.5217200000000002,1.2818999999999998,1.5816750000000002,0.15082943483849204,0.18091075617796593,26.1,30.975,10.0,0.241,3.112033195020747,2.0,1518.0
gaussian,mle,50,0.7,0.95,5,0.9,0.25,0,300,-0.02199495365828802,-0.06144957983193278,0.05410031512605046,-0.0009247867155003364,0.02077370777628762,0.192,0.09999999999999998,0.19999999999999998,-0.09200000000000003,0.00799999999999998,140.95100000000005,0.46983666666666685,0.73,0.023333333333333334,1.5285286666666664,0.27092000000000005,1.7964000000000002,1.52548,1.4955000000000003,1.532975,0.15082943483849204,0.18091075617796593,28.8,30.3,10.0,0.2415,3.1055900621118013,2.0,1517.0
gaussian,mle,50,0.7,0.99,1,0.9,0.1,0,300,0.03484328781639079,0.17174369747899162,0.06888970588235292,0.0853296657725569,0.0853296657725569,0.056666666666666664,0.09999999999999998,0.19999999999999998,0.043333333333333314,0.1433333333333333,40.788,0.13596,0.37,0.0033333333333333335,0.7871366666666666,0.27092000000000005,1.4483800000000002,1.1774600000000002,1.2316,1.163925,0.15082943483849204,0.18091075617796593,1.7,7.075,10.0,0.0555,2.7027027027027026,1.0,1889.0
gaussian,mle,50,0.7,0.99,1,0.9,0.25,0,300,-0.004950141036934523,0.035714285714285726,0.013716911764705887,0.023605877666274755,0.023605877666274755,0.08,0.09999999999999998,0.19999999999999998,0.019999999999999976,0.11999999999999998,22.405999999999995,0.07468666666666665,0.24666666666666667,0.0033333333333333335,0.9331766666666665,0.27092000000000005,1.4371000000000003,1.16618,1.2316,1.1498250000000003,0.15082943483849204,0.18091075617796593,2.4,6.9,10.0,0.0585,2.5641025641025643,1.0,1883.0
gaussian,mle,50,0.7,0.99,3,0.9,0.1,0,300,-0.047170016793725594,-0.03441659671423425,-0.0027124355438302716,-0.019251476958477842,-0.04899326219851485,0.15111111111111108,0.09999999999999998,0.19999999999999998,-0.05111111111111111,0.0488888888888889,133.051,0.4435033333333333,0.7433333333333333,0.013333333333333334,1.3824866666666666,0.27092000000000005,1.6657199999999996,1.3998400000000002,1.5016,1.3744,0.15082943483849204,0.18091075617796593,13.6,19.1,10.0,0.151,2.980132450331126,2.0,1698.0
gaussian,mle,50,0.7,0.99,3,0.9,0.25,0,300,-0.08851272498477974,-0.15086380072318206,-0.10304399357171556,-0.04144180469701558,-0.09963349353947426,0.16444444444444442,0.09999999999999998,0.19999999999999998,-0.06444444444444444,0.03555555555555556,130.313,0.43437666666666663,0.7366666666666667,0.013333333333333334,1.3563822222222222,0.27092000000000005,1.78134,1.51794,1.7467000000000001,1.4607500000000002,0.15082943483849204,0.18091075617796593,14.8,18.8,10.0,0.15,3.0,2.0,1700.0
gaussian,mle,50,0.7,0.99,5,0.9,0.1,0,300,-0.04044536532526355,-0.16144281163292573,-0.06490864248278705,0.005212112044375661,-0.032545647912313624,0.17466666666666666,0.09999999999999998,0.19999999999999998,-0.07466666666666669,0.02533333333333332,141.10200000000003,0.4703400000000001,0.7233333333333334,0.023333333333333334,1.5212006666666666,0.27092000000000005,1.6757600000000001,1.40984,1.3006999999999997,1.4371250000000002,0.15082943483849204,0.18091075617796593,26.2,30.95,10.0,0.241,3.112033195020747,2.0,1518.0
