item,competitive_oracle_price,oracle_slate_count,mle_price,item_type,abs_price_gap
0,0.7295454545454544,11.0,0.364,Other items,0.3655454545454544
1,0.5589000000000001,10.0,2.312,Minority-preferred,1.7530999999999999
2,0.6465000000000001,2.0,0.427,Other items,0.21950000000000008
3,0.6906,5.0,1.997,Other items,1.3064
4,0.31675,4.0,2.5,Other items,2.18325
5,0.427,6.0,2.123,Other items,1.6960000000000002
6,0.560625,8.0,0.364,Other items,0.19662500000000005
7,0.5003333333333334,6.0,1.935,Other items,1.4346666666666668
8,0.5316666666666667,6.0,2.249,Minority-preferred,1.7173333333333334
9,0.43399999999999994,9.0,1.495,Other items,1.0610000000000002
10,0.6152500000000001,4.0,0.301,Other items,0.3142500000000001
11,0.6152857142857143,7.0,2.374,Other items,1.758714285714286
12,0.5423333333333334,6.0,0.427,Other items,0.11533333333333345
13,0.7066363636363635,11.0,0.678,Other items,0.02863636363636346
14,0.5943333333333333,3.0,0.992,Other items,0.3976666666666667
15,0.4268888888888889,9.0,1.746,Other items,1.3191111111111111
16,0.6152500000000001,4.0,0.301,Other items,0.3142500000000001
17,0.41124999999999995,4.0,0.992,Other items,0.5807500000000001
18,0.6278,5.0,0.05,Minority-preferred,0.5778
19,0.524888888888889,9.0,1.621,Other items,1.096111111111111
20,0.5135,8.0,0.238,Other items,0.27549999999999997
21,0.46900000000000003,9.0,1.244,Other items,0.7749999999999999
22,0.7410000000000001,4.0,1.369,Other items,0.6279999999999999
23,0.5369999999999999,4.0,1.621,Minority-preferred,1.084
24,0.5247777777777779,9.0,2.186,Other items,1.661222222222222
25,0.49885714285714283,7.0,1.621,Other items,1.122142857142857
26,0.6153333333333334,6.0,1.683,Minority-preferred,1.0676666666666668
27,0.5884285714285715,7.0,1.746,Other items,1.1575714285714285
28,0.5903,10.0,1.683,Other items,1.0927
29,0.636,3.0,0.867,Other items,0.23099999999999998
30,0.867,7.0,1.118,Other items,0.2510000000000001
31,0.434875,8.0,1.935,Other items,1.5001250000000002
32,0.4396,10.0,1.369,Other items,0.9294
33,0.42700000000000005,10.0,2.123,Other items,1.6960000000000002
34,0.5528000000000001,5.0,2.06,Other items,1.5072
35,0.7032,5.0,0.804,Other items,0.1008
36,0.5213333333333333,6.0,1.244,Other items,0.7226666666666667
37,0.42699999999999994,9.0,1.495,Other items,1.068
38,0.6380909090909092,11.0,1.935,Minority-preferred,1.2969090909090908
39,0.553,4.0,1.872,Minority-preferred,1.319
40,0.6056153846153847,13.0,1.872,Other items,1.2663846153846154
41,0.6154285714285714,7.0,1.997,Other items,1.3815714285714287
42,0.45062499999999994,8.0,2.374,Other items,1.923375
43,0.5319166666666667,12.0,1.935,Other items,1.4030833333333335
44,0.5003333333333334,6.0,2.374,Other items,1.8736666666666668
45,0.5526666666666666,3.0,2.06,Other items,1.5073333333333334
46,0.615125,8.0,2.249,Other items,1.6338750000000002
47,0.5335384615384616,13.0,2.312,Other items,1.778461538461538
48,0.5974285714285715,7.0,0.301,Other items,0.29642857142857154
49,0.529909090909091,11.0,0.49,Other items,0.039909090909091005
50,0.568375,8.0,1.809,Other items,1.240625
51,0.6230000000000001,8.0,2.249,Other items,1.626
52,0.3239090909090909,11.0,1.055,Other items,0.731090909090909
53,0.41650000000000004,6.0,0.867,Other items,0.45049999999999996
54,0.4459000000000001,10.0,2.437,Other items,1.9910999999999999
55,0.5925454545454545,11.0,1.495,Minority-preferred,0.9024545454545456
56,0.46709090909090906,11.0,0.176,Other items,0.29109090909090907
57,0.7467272727272728,11.0,2.437,Other items,1.6902727272727271
58,0.427,9.0,0.113,Other items,0.314
59,0.657,3.0,0.238,Other items,0.41900000000000004
60,0.385,9.0,1.935,Other items,1.55
61,0.497625,8.0,2.437,Other items,1.9393749999999998
62,0.5684166666666667,12.0,1.935,Minority-preferred,1.3665833333333333
63,0.5840000000000001,2.0,1.055,Other items,0.47099999999999986
64,0.6432222222222223,9.0,2.249,Other items,1.605777777777778
65,0.6308750000000001,8.0,0.867,Other items,0.23612499999999992
66,0.4396,5.0,0.238,Minority-preferred,0.2016
67,0.50575,4.0,1.746,Other items,1.24025
68,0.6151428571428571,14.0,0.553,Other items,0.062142857142857055
69,0.4837000000000001,10.0,0.238,Other items,0.24570000000000008
70,0.41650000000000004,6.0,2.5,Other items,2.0835
71,0.46599999999999997,8.0,2.123,Other items,1.6570000000000003
72,0.39549999999999996,4.0,0.678,Other items,0.2825000000000001
73,0.5794285714285714,7.0,2.123,Other items,1.5435714285714288
74,0.5170000000000001,7.0,1.997,Other items,1.48
75,0.5778000000000001,5.0,0.867,Other items,0.2891999999999999
76,0.5527500000000001,8.0,2.374,Minority-preferred,1.82125
77,0.5633333333333334,6.0,2.186,Other items,1.6226666666666665
78,0.6048333333333334,6.0,0.301,Other items,0.30383333333333346
79,0.46375000000000005,12.0,1.495,Other items,1.03125
80,0.5911538461538463,13.0,0.867,Minority-preferred,0.27584615384615374
81,0.52125,4.0,1.055,Other items,0.53375
82,0.4760000000000001,9.0,2.249,Other items,1.7730000000000001
83,0.544875,8.0,1.306,Minority-preferred,0.761125
84,0.448,9.0,0.741,Other items,0.293
85,0.5816153846153846,13.0,0.804,Minority-preferred,0.2223846153846154
86,0.482125,8.0,2.249,Other items,1.7668750000000002
87,0.5526666666666666,9.0,1.621,Other items,1.0683333333333334
88,0.5341,10.0,2.06,Other items,1.5259
89,0.5653333333333332,15.0,2.374,Minority-preferred,1.8086666666666669
90,0.6048333333333334,6.0,2.186,Minority-preferred,1.5811666666666664
91,0.5003333333333333,6.0,0.427,Other items,0.0733333333333333
92,0.39549999999999996,4.0,2.123,Other items,1.7275000000000003
93,0.532,6.0,2.374,Minority-preferred,1.842
94,0.294,9.0,0.615,Other items,0.321
95,0.301,3.0,1.809,Other items,1.508
96,0.678,1.0,2.123,Other items,1.4450000000000003
97,0.39549999999999996,4.0,2.186,Other items,1.7905
98,0.544875,8.0,1.997,Other items,1.452125
99,0.371875,8.0,2.249,Other items,1.8771250000000002
